flight_id,airline_name,flight_date,booking_date,booking_window_days,departure_time,arrival_time,source_city,destination_city,route_popularity,seat_class,base_fare,dynamic_fare,seats_remaining,total_seats,competitor_avg_fare,demand_level,season,day_of_week,is_weekend,user_segment,user_loyalty_tier,promo_applied,weather_condition,cancellation_rate_route,on_time_performance,avg_searches_last_hour,avg_bookings_last_hour,surge_pricing_flag
SP774,SpiceJet,2025-11-17,2025-10-01,47,01:45,05:00,Hyderabad,Delhi,0.71,Business,16424,21524,5,200,19029,High,Peak,Monday,0,Leisure,Platinum,0,Clear,0.05,83.8,36,4,1
IN401,IndiGo,2025-09-28,2025-09-08,20,19:30,22:45,Hyderabad,Delhi,0.72,Business,12917,15694,29,180,13903,Medium,Festival,Sunday,1,Leisure,Silver,1,Rain,0.05,97.8,242,29,1
AI283,Air India,2025-09-17,2025-08-28,20,07:45,11:15,Mumbai,Delhi,0.67,Economy,2752,2752,50,200,2891,Low,Holiday,Wednesday,0,Leisure,Platinum,0,Fog,0.09,89.2,70,15,0
AI861,Air India,2025-10-04,2025-08-14,51,20:15,22:45,Pune,Chennai,0.72,Premium Economy,11075,13492,73,150,10856,Medium,Peak,Saturday,1,Family,None,1,Clear,0.11,90.4,203,35,1
SP835,SpiceJet,2025-07-17,2025-06-30,17,09:15,12:45,Chennai,Kolkata,0.62,Business,9813,12503,8,160,9588,High,Off-Peak,Thursday,0,Leisure,None,0,Clear,0.04,98.3,153,7,1
AK120,Akasa Air,2025-11-30,2025-10-09,52,05:00,06:15,Chennai,Bangalore,0.58,Economy,7758,9258,96,200,8241,Medium,Peak,Sunday,1,Family,Silver,0,Clear,0.12,91.2,242,2,0
AI823,Air India,2025-07-26,2025-07-22,4,23:15,00:45,Mumbai,Kolkata,0.83,Economy,2733,3222,48,150,3118,Medium,Peak,Saturday,1,Leisure,None,1,Fog,0.07,91.1,297,35,1
AK455,Akasa Air,2025-11-23,2025-11-03,20,14:00,18:30,Kolkata,Bangalore,0.92,Economy,7059,7963,55,160,7733,Medium,Peak,Sunday,1,Student,Gold,1,Clear,0.05,88.6,182,10,0
SP436,SpiceJet,2025-10-15,2025-08-30,46,01:45,02:15,Pune,Bangalore,0.71,Economy,2646,2993,44,150,2453,Medium,Festival,Wednesday,0,Student,None,0,Clear,0.03,96.4,143,4,0
SP310,SpiceJet,2025-11-22,2025-10-14,39,03:45,07:45,Chennai,Pune,0.72,Economy,7788,9074,65,180,8705,Medium,Festival,Saturday,1,Student,None,0,Clear,0.03,90.5,296,9,0
AK563,Akasa Air,2025-12-08,2025-10-13,56,13:45,17:15,Kolkata,Bangalore,0.96,Economy,5530,6989,83,180,6140,Medium,Peak,Monday,0,Leisure,Gold,0,Fog,0.05,89.6,153,48,1
VI293,Vistara,2025-12-14,2025-12-11,3,00:00,03:45,Kolkata,Chennai,0.78,Economy,2997,3194,63,200,3421,Low,Holiday,Sunday,1,Family,None,0,Storm,0.12,91.6,197,54,1
VI251,Vistara,2025-10-21,2025-09-26,25,06:15,08:45,Ahmedabad,Mumbai,0.67,Economy,8071,12137,29,150,8801,High,Peak,Tuesday,0,Family,Gold,0,Clear,0.1,92.4,210,23,1
VI242,Vistara,2025-12-17,2025-11-28,19,10:15,11:45,Mumbai,Pune,0.68,Economy,3583,5073,65,160,3963,High,Festival,Wednesday,0,Family,Silver,0,Clear,0.09,94.1,267,33,1
VI217,Vistara,2025-07-24,2025-06-17,37,09:15,11:45,Hyderabad,Bangalore,0.58,Economy,3330,4068,40,160,3877,Medium,Festival,Thursday,0,Student,None,1,Clear,0.05,84.7,157,39,1
AK647,Akasa Air,2025-09-21,2025-08-29,23,04:00,06:30,Mumbai,Delhi,0.55,Business,15688,19105,100,200,17911,High,Holiday,Sunday,1,Leisure,None,0,Clear,0.12,94.6,300,54,1
AI654,Air India,2025-10-19,2025-10-02,17,17:00,19:00,Kolkata,Ahmedabad,0.56,Economy,8276,10961,43,180,8232,High,Off-Peak,Sunday,1,Leisure,Silver,0,Storm,0.07,89.7,152,45,1
SP931,SpiceJet,2025-10-10,2025-09-23,17,19:00,23:00,Ahmedabad,Chennai,0.55,Premium Economy,10538,10538,14,200,11907,Low,Off-Peak,Friday,0,Family,Silver,0,Clear,0.08,88.5,253,19,0
AI730,Air India,2025-12-02,2025-11-12,20,14:00,17:15,Chennai,Hyderabad,0.67,Economy,5084,6616,8,180,5257,High,Festival,Tuesday,0,Leisure,None,0,Clear,0.06,92.4,259,60,1
VI473,Vistara,2025-08-26,2025-08-13,13,10:30,11:45,Bangalore,Kolkata,0.98,Economy,3176,3176,66,180,3446,Medium,Off-Peak,Tuesday,0,Family,None,1,Storm,0.06,93.4,40,20,0
VI687,Vistara,2025-10-02,2025-09-12,20,14:45,17:30,Pune,Mumbai,0.73,Economy,4781,5493,5,160,4980,Low,Festival,Thursday,0,Business,None,0,Clear,0.1,90.3,193,35,1
GO438,Go First,2025-08-27,2025-06-28,60,13:45,14:15,Bangalore,Mumbai,0.58,Economy,4773,4773,55,200,5482,Low,Festival,Wednesday,0,Student,Gold,1,Clear,0.09,88.6,285,19,0
AK704,Akasa Air,2025-07-16,2025-06-11,35,20:45,22:00,Ahmedabad,Bangalore,0.63,Economy,7590,9482,80,160,6946,Medium,Peak,Wednesday,0,Leisure,Platinum,1,Clear,0.12,94.0,118,45,1
VI837,Vistara,2025-12-31,2025-12-26,5,20:15,23:45,Kolkata,Ahmedabad,0.91,Premium Economy,7068,9264,42,160,8317,High,Off-Peak,Wednesday,0,Student,None,0,Clear,0.15,95.3,132,36,1
AI242,Air India,2025-09-16,2025-08-05,42,17:30,18:15,Delhi,Kolkata,0.93,Premium Economy,10763,14595,11,200,11004,High,Holiday,Tuesday,0,Student,Gold,0,Fog,0.08,91.9,179,27,1
AI989,Air India,2025-12-14,2025-12-06,8,22:30,00:15,Mumbai,Delhi,0.71,Economy,6517,7533,37,180,6784,Medium,Off-Peak,Sunday,1,Business,Gold,0,Rain,0.06,94.8,110,33,1
VI582,Vistara,2025-10-06,2025-08-19,48,20:45,21:30,Pune,Kolkata,0.77,Business,15227,16486,42,160,14600,Medium,Off-Peak,Monday,0,Leisure,Platinum,1,Clear,0.09,95.4,113,51,1
SP894,SpiceJet,2025-11-02,2025-10-09,24,20:15,21:00,Kolkata,Hyderabad,0.76,Business,9321,12957,13,150,10734,High,Off-Peak,Sunday,1,Student,Silver,0,Clear,0.09,89.9,230,19,1
AK638,Akasa Air,2025-07-30,2025-07-25,5,12:00,15:30,Bangalore,Kolkata,0.58,Business,14428,14560,98,200,16472,Medium,Off-Peak,Wednesday,0,Student,Platinum,1,Clear,0.1,95.2,59,5,0
VI821,Vistara,2025-11-04,2025-09-30,35,01:30,03:45,Mumbai,Ahmedabad,0.64,Economy,4031,5002,60,180,3862,High,Off-Peak,Tuesday,0,Family,None,0,Clear,0.06,96.1,158,55,1
AK653,Akasa Air,2025-11-14,2025-10-26,19,23:45,02:30,Ahmedabad,Kolkata,0.84,Economy,4831,5575,24,160,5325,Medium,Peak,Friday,0,Leisure,None,1,Clear,0.05,90.3,255,19,0
AK100,Akasa Air,2025-08-22,2025-06-27,56,23:45,02:15,Ahmedabad,Pune,0.79,Business,14310,15262,18,160,16200,Medium,Off-Peak,Friday,0,Student,None,0,Fog,0.06,96.5,276,15,0
AI407,Air India,2025-09-13,2025-07-24,51,22:30,00:15,Bangalore,Hyderabad,0.69,Economy,7044,8016,36,160,6812,Medium,Off-Peak,Saturday,1,Business,None,0,Storm,0.1,93.5,261,39,1
GO102,Go First,2025-10-11,2025-09-07,34,10:30,11:15,Pune,Delhi,0.63,Economy,3568,5040,21,180,4147,High,Off-Peak,Saturday,1,Leisure,Silver,0,Clear,0.08,91.8,280,21,1
AK915,Akasa Air,2025-07-16,2025-06-03,43,23:15,00:30,Kolkata,Bangalore,0.86,Economy,5419,6677,18,180,6129,Medium,Festival,Wednesday,0,Leisure,None,0,Clear,0.03,88.6,104,47,1
GO112,Go First,2025-08-31,2025-08-11,20,15:00,17:45,Pune,Hyderabad,0.79,Economy,2557,3614,32,160,3015,High,Off-Peak,Sunday,1,Student,Gold,0,Clear,0.12,88.9,127,17,1
VI457,Vistara,2025-09-23,2025-07-25,60,11:00,13:00,Kolkata,Mumbai,0.57,Economy,6559,6613,43,160,7305,Low,Festival,Tuesday,0,Student,Platinum,1,Fog,0.06,87.2,136,51,1
VI446,Vistara,2025-12-21,2025-11-08,43,15:00,19:45,Kolkata,Ahmedabad,0.59,Economy,6793,10138,76,200,7243,High,Festival,Sunday,1,Leisure,None,0,Storm,0.13,93.3,143,49,1
SP862,SpiceJet,2025-08-19,2025-08-01,18,15:00,19:00,Ahmedabad,Chennai,0.55,Economy,6656,7575,21,200,6162,Low,Festival,Tuesday,0,Student,None,0,Fog,0.09,91.9,37,3,0
AI291,Air India,2025-08-19,2025-08-12,7,09:00,11:30,Delhi,Kolkata,0.5,Economy,5432,6045,70,160,4999,Low,Festival,Tuesday,0,Student,None,1,Rain,0.09,93.1,184,46,1
IN318,IndiGo,2025-10-21,2025-09-28,23,10:45,13:15,Hyderabad,Kolkata,0.82,Economy,4594,4735,89,180,5090,Medium,Off-Peak,Tuesday,0,Leisure,Silver,1,Rain,0.1,97.2,70,23,1
AK841,Akasa Air,2025-10-20,2025-09-12,38,22:45,02:45,Kolkata,Ahmedabad,0.55,Economy,7093,8924,12,150,7169,High,Festival,Monday,0,Student,Platinum,1,Clear,0.05,96.4,50,22,1
GO996,Go First,2025-12-09,2025-11-12,27,09:30,11:00,Mumbai,Hyderabad,0.85,Economy,3561,4258,48,180,3700,Medium,Off-Peak,Tuesday,0,Family,Silver,0,Clear,0.08,94.9,202,39,1
GO547,Go First,2025-12-25,2025-11-10,45,01:45,02:00,Chennai,Kolkata,0.73,Economy,7824,9168,6,150,8406,Medium,Off-Peak,Thursday,0,Business,Gold,0,Rain,0.1,94.8,201,27,1
AI911,Air India,2025-08-06,2025-06-28,39,23:00,03:15,Delhi,Hyderabad,0.79,Economy,2675,2675,71,180,2901,Low,Holiday,Wednesday,0,Family,Silver,1,Clear,0.1,87.6,190,20,0
AK642,Akasa Air,2025-09-21,2025-09-15,6,22:45,23:00,Chennai,Delhi,0.53,Economy,7576,10679,57,200,6928,High,Peak,Sunday,1,Student,Gold,0,Fog,0.09,97.3,227,5,1
VI161,Vistara,2025-10-17,2025-10-10,7,18:45,20:45,Bangalore,Pune,0.69,Business,17585,19608,77,160,17644,Medium,Festival,Friday,0,Business,None,1,Clear,0.07,96.8,181,53,1
SP922,SpiceJet,2025-10-08,2025-08-24,45,20:15,22:15,Chennai,Hyderabad,0.87,Economy,6278,9058,13,160,6452,High,Festival,Wednesday,0,Leisure,None,0,Clear,0.08,89.9,284,10,1
AI844,Air India,2025-12-02,2025-10-22,41,19:15,22:45,Bangalore,Chennai,0.87,Premium Economy,8344,9123,5,160,8649,Medium,Off-Peak,Tuesday,0,Student,Gold,1,Clear,0.09,98.4,162,31,1
VI284,Vistara,2025-12-09,2025-12-06,3,04:30,06:30,Hyderabad,Chennai,0.67,Premium Economy,10655,12440,22,150,11195,Medium,Peak,Tuesday,0,Leisure,None,1,Clear,0.07,89.3,97,34,1
GO336,Go First,2025-11-16,2025-10-26,21,06:30,10:15,Hyderabad,Ahmedabad,0.71,Economy,8180,9247,47,150,8289,Medium,Off-Peak,Sunday,1,Student,None,0,Clear,0.08,91.1,144,11,0
VI216,Vistara,2025-12-15,2025-12-05,10,03:30,05:15,Mumbai,Delhi,0.92,Economy,6794,9219,16,160,7056,High,Festival,Monday,0,Business,Gold,1,Clear,0.1,95.2,156,57,1
IN508,IndiGo,2025-10-25,2025-09-23,32,10:30,11:45,Ahmedabad,Bangalore,0.88,Business,10508,11101,9,150,11109,Low,Festival,Saturday,1,Student,Silver,0,Storm,0.08,88.8,178,14,0
GO416,Go First,2025-12-22,2025-10-28,55,08:00,11:15,Ahmedabad,Pune,0.73,Business,17909,20443,10,160,18513,Medium,Off-Peak,Monday,0,Leisure,None,0,Storm,0.07,92.0,238,21,1
AK481,Akasa Air,2025-10-28,2025-09-06,52,16:45,18:45,Chennai,Kolkata,0.67,Economy,5660,6294,71,200,5287,Medium,Holiday,Tuesday,0,Student,None,0,Clear,0.12,83.7,145,25,1
VI903,Vistara,2025-09-22,2025-09-06,16,19:15,22:45,Mumbai,Chennai,0.74,Business,13118,16750,47,150,14846,Medium,Festival,Monday,0,Student,Platinum,0,Clear,0.03,91.9,104,27,1
SP348,SpiceJet,2025-10-22,2025-09-17,35,04:15,08:45,Bangalore,Mumbai,0.77,Economy,2731,3199,16,180,2516,Medium,Holiday,Wednesday,0,Business,Platinum,0,Storm,0.12,93.3,253,35,1
VI789,Vistara,2025-12-28,2025-12-04,24,04:30,08:00,Pune,Mumbai,0.91,Economy,7717,8867,33,150,7024,Medium,Off-Peak,Sunday,1,Leisure,None,0,Storm,0.04,93.1,80,26,1
AI514,Air India,2025-09-28,2025-08-26,33,01:30,03:15,Ahmedabad,Delhi,0.55,Economy,4859,5631,77,160,4512,Medium,Holiday,Sunday,1,Family,None,0,Storm,0.06,96.0,154,37,1
AI670,Air India,2025-08-16,2025-07-25,22,10:45,14:00,Ahmedabad,Pune,0.81,Economy,8995,13833,28,160,8534,High,Festival,Saturday,1,Leisure,Silver,0,Clear,0.11,96.6,130,3,1
IN681,IndiGo,2025-11-07,2025-10-09,29,20:30,21:30,Ahmedabad,Hyderabad,0.71,Economy,8350,10163,71,160,7965,Medium,Off-Peak,Friday,0,Business,None,0,Clear,0.08,93.0,108,36,1
AI889,Air India,2025-09-24,2025-09-21,3,03:45,07:30,Pune,Mumbai,0.64,Business,17738,18986,44,180,20077,Low,Festival,Wednesday,0,Business,None,0,Clear,0.08,89.9,215,9,0
AI310,Air India,2025-09-27,2025-08-02,56,07:00,09:45,Mumbai,Hyderabad,0.73,Business,16134,18151,16,160,18296,Medium,Holiday,Saturday,1,Leisure,None,0,Clear,0.03,90.3,280,7,0
IN734,IndiGo,2025-11-15,2025-09-25,51,18:15,19:30,Bangalore,Hyderabad,0.8,Economy,8557,10991,10,160,10195,High,Peak,Saturday,1,Student,Silver,1,Fog,0.07,90.9,296,56,1
AI396,Air India,2025-09-14,2025-09-03,11,14:00,17:15,Ahmedabad,Mumbai,0.88,Premium Economy,7290,8295,8,200,7976,Medium,Holiday,Sunday,1,Student,None,0,Clear,0.06,92.4,203,30,1
VI412,Vistara,2025-09-22,2025-09-18,4,00:00,01:00,Bangalore,Kolkata,0.5,Business,10257,14688,30,200,10626,High,Holiday,Monday,0,Family,Platinum,0,Clear,0.08,94.5,227,36,1
AI932,Air India,2025-09-18,2025-08-31,18,07:00,09:15,Ahmedabad,Bangalore,0.91,Economy,8402,12123,52,180,7734,High,Peak,Thursday,0,Family,None,0,Rain,0.12,97.8,276,51,1
SP693,SpiceJet,2025-07-11,2025-06-14,27,17:15,19:30,Hyderabad,Bangalore,0.82,Economy,3724,5267,10,200,3591,High,Off-Peak,Friday,0,Family,Gold,0,Clear,0.06,91.5,230,13,1
SP912,SpiceJet,2025-08-04,2025-06-25,40,11:45,14:15,Ahmedabad,Hyderabad,0.62,Economy,4795,6488,54,200,4994,Medium,Festival,Monday,0,Leisure,None,0,Clear,0.08,88.9,110,28,1
AI406,Air India,2025-08-20,2025-07-19,32,17:15,20:45,Ahmedabad,Chennai,0.95,Economy,8731,10603,5,200,8784,High,Holiday,Wednesday,0,Family,None,0,Clear,0.09,90.9,108,23,1
VI553,Vistara,2025-10-24,2025-09-22,32,15:00,18:15,Bangalore,Pune,0.84,Economy,7726,10768,80,180,8012,High,Festival,Friday,0,Family,None,0,Fog,0.11,94.4,256,20,1
AK363,Akasa Air,2025-10-29,2025-10-25,4,20:15,21:00,Hyderabad,Chennai,1.0,Premium Economy,11192,16499,35,200,12338,High,Festival,Wednesday,0,Family,None,0,Clear,0.07,91.4,292,6,1
SP310,SpiceJet,2025-09-07,2025-08-01,37,18:30,20:15,Pune,Hyderabad,0.65,Business,15321,15321,28,150,15190,Medium,Holiday,Sunday,1,Family,Silver,1,Clear,0.09,86.9,68,15,0
VI863,Vistara,2025-10-18,2025-08-25,54,21:45,00:15,Mumbai,Kolkata,0.5,Business,15694,18294,23,160,15565,Medium,Off-Peak,Saturday,1,Leisure,None,0,Clear,0.08,89.6,123,50,1
GO454,Go First,2025-08-28,2025-08-25,3,03:15,06:00,Delhi,Ahmedabad,0.8,Economy,3620,4054,71,160,3552,Medium,Off-Peak,Thursday,0,Family,Silver,0,Clear,0.1,90.2,33,7,0
GO715,Go First,2025-11-30,2025-10-01,60,14:30,16:15,Bangalore,Hyderabad,0.84,Premium Economy,8119,11173,24,150,7423,High,Holiday,Sunday,1,Business,Silver,0,Fog,0.05,99.0,233,52,1
AK152,Akasa Air,2025-07-11,2025-06-28,13,13:15,16:45,Chennai,Pune,0.92,Economy,7487,9007,20,150,7634,Medium,Peak,Friday,0,Leisure,Platinum,1,Clear,0.05,90.5,255,56,1
IN390,IndiGo,2025-07-11,2025-07-04,7,18:45,21:30,Mumbai,Ahmedabad,0.67,Economy,7405,7405,72,180,7878,Low,Festival,Friday,0,Student,None,1,Storm,0.03,92.4,258,22,1
AK426,Akasa Air,2025-10-12,2025-08-18,55,01:45,05:00,Ahmedabad,Pune,0.67,Premium Economy,7166,7887,51,200,8063,Low,Festival,Sunday,1,Business,Gold,0,Clear,0.06,89.4,50,13,0
SP210,SpiceJet,2025-08-01,2025-07-14,18,05:30,09:45,Delhi,Hyderabad,0.84,Economy,8581,12465,25,150,7901,High,Peak,Friday,0,Family,None,0,Storm,0.1,91.1,195,7,1
GO667,Go First,2025-11-10,2025-09-21,50,22:30,01:45,Chennai,Pune,0.82,Premium Economy,8450,9583,54,180,9827,Low,Peak,Monday,0,Family,Silver,0,Clear,0.11,86.0,170,54,1
GO533,Go First,2025-07-12,2025-07-06,6,12:00,14:30,Ahmedabad,Mumbai,1.0,Business,17250,17250,6,180,18223,Low,Holiday,Saturday,1,Family,Silver,1,Rain,0.08,88.5,135,5,0
VI646,Vistara,2025-09-18,2025-07-22,58,11:30,14:00,Kolkata,Pune,0.99,Economy,5790,7260,61,200,5292,Medium,Peak,Thursday,0,Family,Silver,0,Clear,0.06,99.0,55,24,1
AK509,Akasa Air,2025-09-01,2025-07-18,45,23:30,01:30,Kolkata,Mumbai,0.93,Economy,5112,7128,47,200,5278,High,Festival,Monday,0,Leisure,None,0,Clear,0.04,95.2,150,43,1
AK430,Akasa Air,2025-08-21,2025-07-30,22,20:30,00:45,Hyderabad,Bangalore,0.87,Business,16250,21767,58,160,18200,High,Off-Peak,Thursday,0,Family,None,0,Clear,0.03,89.4,190,19,1
AI602,Air India,2025-10-01,2025-08-19,43,14:30,18:30,Pune,Delhi,0.8,Economy,6604,7558,30,150,6819,Low,Peak,Wednesday,0,Family,None,0,Storm,0.05,87.7,132,51,1
AK815,Akasa Air,2025-11-18,2025-10-07,42,01:30,03:30,Pune,Mumbai,0.53,Business,16772,18093,51,160,16932,Medium,Holiday,Tuesday,0,Leisure,Silver,0,Clear,0.03,89.1,290,16,0
GO904,Go First,2025-09-03,2025-07-28,37,04:45,06:15,Chennai,Kolkata,0.96,Economy,4411,4411,35,180,5023,Low,Festival,Wednesday,0,Business,None,1,Rain,0.06,86.8,33,15,0
AI599,Air India,2025-08-01,2025-06-27,35,23:15,03:45,Mumbai,Pune,0.53,Business,13424,17975,21,160,14814,High,Holiday,Friday,0,Business,Silver,0,Clear,0.07,95.2,297,46,1
GO449,Go First,2025-08-08,2025-06-21,48,12:00,14:15,Bangalore,Delhi,0.61,Economy,3517,4835,15,150,3198,High,Festival,Friday,0,Leisure,Gold,0,Clear,0.11,87.6,57,25,1
IN416,IndiGo,2025-10-11,2025-08-13,59,19:45,21:00,Pune,Ahmedabad,0.77,Economy,8680,9969,15,180,7891,Low,Peak,Saturday,1,Student,Gold,0,Clear,0.11,96.0,170,41,1
AK388,Akasa Air,2025-11-29,2025-11-04,25,09:45,10:45,Mumbai,Bangalore,0.76,Economy,3457,4073,66,160,3607,Low,Festival,Saturday,1,Student,Silver,0,Clear,0.12,91.0,291,26,1
GO573,Go First,2025-09-13,2025-09-08,5,00:00,02:00,Bangalore,Hyderabad,0.5,Economy,4793,5456,14,160,4732,Medium,Peak,Saturday,1,Student,Gold,0,Clear,0.05,89.0,31,13,0
IN618,IndiGo,2025-08-26,2025-07-08,49,13:15,14:15,Delhi,Kolkata,0.87,Economy,8455,10114,15,150,7669,Medium,Off-Peak,Tuesday,0,Family,Gold,0,Rain,0.09,89.0,263,28,1
GO448,Go First,2025-11-26,2025-10-26,31,09:00,12:15,Bangalore,Ahmedabad,0.5,Economy,4676,5134,24,180,5462,Low,Holiday,Wednesday,0,Business,None,0,Clear,0.11,88.2,276,24,1
AI105,Air India,2025-10-29,2025-09-23,36,19:15,22:15,Chennai,Mumbai,0.85,Economy,7063,8656,50,150,6706,Medium,Festival,Wednesday,0,Business,Platinum,1,Rain,0.1,90.8,143,35,1
GO768,Go First,2025-09-22,2025-08-08,45,07:30,10:45,Pune,Kolkata,0.96,Premium Economy,10980,11722,35,150,11991,Medium,Peak,Monday,0,Family,Silver,1,Clear,0.03,89.8,207,6,0
